epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,49,,0.025081563740968704,,,,,
0,,99,,0.01330718956887722,,,,,
0,,149,,0.01358085684478283,,,,,
0,,199,,0.014795171096920967,,,,,
0,,249,,0.013024430721998215,,,,,
0,,299,,0.014238247647881508,,,,,
0,,349,,0.010976970195770264,,,,,
0,,399,,0.011159989982843399,,,,,
0,,449,,0.010711046867072582,,,,,
0,,499,,0.01059475913643837,,,,,
0,,549,,0.009048947133123875,,,,,
0,,599,,0.010520098730921745,,,,,
0,,649,,0.010115469805896282,,,,,
0,,699,,0.009496849961578846,,,,,
0,,749,,0.011577030643820763,,,,,
0,,799,,0.00986826978623867,,,,,
0,,815,,,0.01971285231411457,48.97293472290039,0.03204771503806114,0.4612637758255005,0.010658863000571728
0,,815,0.014135093428194523,,,,,,
,0.001,816,,,,,,,
1,,849,,0.009714169427752495,,,,,
1,,899,,0.012355566024780273,,,,,
1,,949,,0.00845461618155241,,,,,
1,,999,,0.009070861153304577,,,,,
1,,1049,,0.01010849792510271,,,,,
1,,1099,,0.009316299110651016,,,,,
1,,1149,,0.00920966174453497,,,,,
1,,1199,,0.010232667438685894,,,,,
1,,1249,,0.010368511080741882,,,,,
1,,1299,,0.009366651996970177,,,,,
1,,1349,,0.01240529865026474,,,,,
1,,1399,,0.013746138662099838,,,,,
1,,1449,,0.009701766073703766,,,,,
1,,1499,,0.01219987403601408,,,,,
1,,1549,,0.009917233139276505,,,,,
1,,1599,,0.010391078889369965,,,,,
1,,1631,,,0.01883232779800892,59.37424087524414,0.029597770422697067,0.4492214620113373,0.01017853058874607
1,,1631,0.010958617553114891,,,,,,
,0.001,1632,,,,,,,
2,,1649,,0.009759495034813881,,,,,
2,,1699,,0.010276738554239273,,,,,
2,,1749,,0.010627582669258118,,,,,
2,,1799,,0.010492416098713875,,,,,
2,,1849,,0.011509917676448822,,,,,
2,,1899,,0.011960838921368122,,,,,
2,,1949,,0.012784941121935844,,,,,
2,,1999,,0.010601102374494076,,,,,
2,,2049,,0.008065392263233662,,,,,
2,,2099,,0.011336779221892357,,,,,
2,,2149,,0.01125834695994854,,,,,
2,,2199,,0.00850395206362009,,,,,
2,,2249,,0.010617493651807308,,,,,
2,,2299,,0.010449640452861786,,,,,
2,,2349,,0.011036336421966553,,,,,
2,,2399,,0.007362624164670706,,,,,
2,,2447,,,0.014766320586204529,64.41321563720703,0.023057518526911736,0.4032001793384552,0.008209208026528358
2,,2447,0.010371995158493519,,,,,,
,0.001,2448,,,,,,,
3,,2449,,0.009623173624277115,,,,,
3,,2499,,0.009398411028087139,,,,,
3,,2549,,0.012484501115977764,,,,,
3,,2599,,0.009126778692007065,,,,,
3,,2649,,0.009223504923284054,,,,,
3,,2699,,0.010042335838079453,,,,,
3,,2749,,0.008255008608102798,,,,,
3,,2799,,0.00860490184277296,,,,,
3,,2849,,0.010068410076200962,,,,,
3,,2899,,0.010163726285099983,,,,,
3,,2949,,0.01073523797094822,,,,,
3,,2999,,0.008753770962357521,,,,,
3,,3049,,0.008509518578648567,,,,,
3,,3099,,0.009595409035682678,,,,,
3,,3149,,0.009816225618124008,,,,,
3,,3199,,0.010720157995820045,,,,,
3,,3249,,0.010000753216445446,,,,,
3,,3263,,,0.012324933893978596,67.93314361572266,0.020108358934521675,0.36796993017196655,0.006853362545371056
3,,3263,0.009844808839261532,,,,,,
,0.001,3264,,,,,,,
4,,3299,,0.009837118908762932,,,,,
4,,3349,,0.00816376507282257,,,,,
4,,3399,,0.008783586323261261,,,,,
4,,3449,,0.007845238782465458,,,,,
4,,3499,,0.010472968220710754,,,,,
4,,3549,,0.008047185838222504,,,,,
4,,3599,,0.00864940881729126,,,,,
4,,3649,,0.008860919624567032,,,,,
4,,3699,,0.00899750366806984,,,,,
4,,3749,,0.009159792214632034,,,,,
4,,3799,,0.009522881358861923,,,,,
4,,3849,,0.00884045846760273,,,,,
4,,3899,,0.008139383979141712,,,,,
4,,3949,,0.010201951488852501,,,,,
4,,3999,,0.0078018950298428535,,,,,
